2024-10-08 15:07:23 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-10-08 15:07:23 info: Current installed embold extension version : 0.1.8
2024-10-08 15:07:23 info: Latest embold extension version on marketplace : 0.1.6
2024-10-08 15:07:23 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-10-08 15:07:23 info: Java installed on machine.
2024-10-08 15:08:02 info: Row(s) deleted
2024-10-08 15:08:29 info: Row(s) deleted
2024-10-08 15:08:30 info: Row(s) deleted
2024-10-08 15:09:19 info: Row(s) deleted
2024-10-08 15:09:21 info: Row(s) deleted
2024-10-08 15:50:23 info: Congratulations, your extension "Embold" is now active!
2024-10-08 15:50:23 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-08 15:50:31 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-10-08 15:50:31 info: Extension installed on machine OS : darwin
2024-10-08 15:50:31 info: Fetched the issues from DB
2024-10-08 15:50:31 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-10-08 15:50:31 info: Current installed embold extension version : 0.1.8
2024-10-08 15:50:31 info: Latest embold extension version on marketplace : 0.1.6
2024-10-08 15:50:31 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-10-08 15:50:31 info: Java installed on machine.
2024-10-08 15:55:58 info: Row(s) deleted
2024-10-08 15:56:29 info: Row(s) deleted
2024-10-08 15:56:29 info: Row(s) deleted
2024-10-08 15:56:29 info: Row(s) deleted
2024-10-08 15:56:29 info: Row(s) deleted
2024-10-08 15:56:29 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
2024-10-08 15:56:30 info: Row(s) deleted
